Longitude,Latitude
-66.830006,-0.326324
-72.75,0.92
-70.25,1
-67.82,4.33
-67.68,4.62
-67.805,5.24389
-67.36666,5.61666
-67.333333,5.8
-72.32,-0.42
-72.7017,0.9375
-70.25,1
-72.67,1.08
-72.833333,1.116667
-70.85,1.25
-70.5,1.33
-72.92869,1.34047
-65.666667,1.65
-65.56666,2.16666
-72.69666,2.47444
-72.71,2.545278
-65.55,3.16
-65.85,3.616667
-66.83333,4.08333
-67.283333,4.283333
-67.82,4.33
-67.75,4.33333
-67.67,4.75
-67.566667,4.916667
-67.77,5.03
-67.55,5.04
-67.4421,5.06078
-67.85,5.333333
-67.55,5.37
-67.5,5.58
-67.6,5.62
-67.67,5.67
-66.1417,5.68
-67.5886,5.7131
-66.38333,5.91666
-67.366667,5.966667
-67.48,6.25
-64.8328,-17.0144
-65.0342,-17.0108
-61,-13.6
-69.33,-12.83
-67.833333,-11.766667
-65.383333,-10.8
-65.6333,-10.5333
-56.34,-9.906639
-56.11,-9.897278
-69.12,-9.72
-57.516667,-7.583333
-73.83,-5.08
-73.38,-4.27
-73.125556,-3.882222
-73.324444,-3.825556
-73.25,-3.75
-73.268333,-3.676944
-75.83,-3.25
-70.33,-3.18
-59.97,-2.88
-70.527778,-2.716667
-77.91666,-1.63333
-77.966667,-1.483333
-78,-1.41666
-77.86,-1.34
-79.18,-0.92
-67.02,-0.168267
-67.34,0.324267
-66.166667,0.833333
-56.65,3.25
-58.751944,3.289444
-52.2,3.62
-59.32,3.75
-69.15,5.18
-70.712389,6.979472
-41.419778,-12.461194
-68.0478,-11.5942
-66.08,-11
-67.851125,-8.277292
-54.95,-2.483333
-65,-0.5
-61.49,-0.407722
-70.5,0.083
-64.75,0.75
-66.17,0.83
-58.965,1.332778
-65.666667,1.65
-65.75,3.666667
-59.895556,8.137222
-60.0262053899244,-3.10532112790859
-59.97,-2.883333
-60.470552,0.463867
-39.083333,-15.15
-39.047183,-14.789084
-60.72,-14.63
-60.7692,-14.5614
-69.33,-12.83
-66.08,-11
-59.35,-10.2
-54.740486,-2.449614
-59,-1
-49.8,-0.983333
-53.116667,0.4
-66.17,0.83
-66.25,0.883333
-67.05,1.93
-59.566667,2
-67.43,2.91
-77.47,3.25
-59.254444,3.333889
-77,3.92
-77.17,4.17
-77.37,4.25
-58.810278,4.3375
-67.8,4.4
-52.266667,4.583333
-76.9,4.6
-58.72,4.62
-58.67,4.67
-76.92,4.7
-59.02,4.75
-57.7,5
-59.9,5.0333
-59.83,5.08
-59.48,5.17
-76.63,5.25
-58.67,5.33
-58.12,5.37
-59.12236,5.37367
-60,5.42
-75.05267,5.51114
-58,5.67
-60.23,5.68
-60.58,5.75
-75,6
-60.17,6
-60.65267,6.04072
-62,6.08
-60.33,6.12
-60.42,6.25
-58.58,6.42
-58.65,6.5
-58.25,6.5
-58.37,6.57
-75.05,7.22
-75.05,7.35
-77.666667,7.916667
-80.1,8.616667
-80.6,8.633333
-80.152778,8.850278
-80.215278,8.924722
-80.3,8.931389
-79,9.2
-78.966667,9.266667
-78.25,9.316667
-79.77694,9.34027
-79.72,9.37
-79.4,9.4
-84.219104,10.700795
-84.168611,10.748333
-83.883333,10.75
-84.083333,11
-83.75,12
-88.69816,15.41066
-89.21,15.415
-90.92,16.12
-88.96666,16.16666
-88.783333,16.4
-79.95,-4.083333
-53.116667,0.4
-59.238056,1.5825
-52.366667,4.3
-76.92,4.7
-76.22028,4.83764
-76.68,5.17
-75.05481,5.52247
-76.466667,5.733333
-74.866667,6.216667
-75.05,7.22
-75.07,7.3
-40.947308,-20.682908
-40.53886,-19.80578
-69.33,-12.83
-73.75,-7.6
-73.25,-3.733333
-72.9,-3.25
-77.91666,-1.66666
-78,-1.41666
-56.941621,-1.206781
-76.87,-0.83
-65.92,-0.25
-79.03,0.08
-70.23,1.23
-75.905833,1.682778
-76.87653,3.57353
-65.52,6.75
-71.47,7.68
-60.7,-14.616667
-64.95,-9.633333
-74.908,-9.592
-75,-9.3
-76.53,-8.17
-72.823333,-7.501389
-70.25,-7.5
-66.783333,-6.716667
-73.9086,-6.2636
-73.833333,-5.083333
-78.5,-4.5
-78.156389,-4.466667
-78.67,-4.32
-73.5,-4.17
-73.583333,-3.916667
-73.321915,-3.829112
-73.25,-3.75
-73.25,-3.683333
-73.5,-3.666667
-65,-3.483333
-59.97,-2.88
-50.733333,-2.691667
-78,-2.67
-75.7,-2.55
-59.904816,-2.434182
-59.7278,-2.4072
-77.5,-2.383333
-75.97,-1.63
-78.3,-1.35
-74.73,-1.17
-77.6,-1.06666
-77.766667,-0.733333
-76.42,-0.68
-70.67,-0.5
-65,-0.5
-70.5,-0.08
-77.33,0.17
-70.5,0.75
-70.08,1
-58.7,1.37
-58.6292,1.6517
-59.566667,2
-59.25,2.08
-59.96666,2.88333
-59.38,3.13
-58.533333,3.133333
-74.3617,3.2267
-59.47,3.37
-53.2,3.62
-56.533,3.642
-51.87,3.75
-59.07,4.08
-73.63,4.1
-59.05,4.17
-54.765833,4.201111
-52.366667,4.3
-56.93,4.52
-52.88,4.55
-58.67,4.67
-55,4.7
-63.35,4.78
-55.21,4.88
-55.2,4.97
-61.17,5
-59.8,5.05
-60.016667,5.095833
-59.80986,5.12994
-58.7475,5.1611
-59.12,5.2
-63.983333,5.3
-61.05,5.32
-58.67,5.33
-58.5,5.333333
-54.666667,5.333333
-54,5.42
-58.77,5.43
-60.07,5.47
-67.25,5.58
-60.28,5.63
-58,5.67
-60.28,5.7
-60.58,5.75
-74.866667,5.833333
-74.83,5.92
-75,6
-61.08,6
-60.17,6
-74.26694,6.04178
-75.1,6.05
-64.38,6.23
-77.381083,6.269933
-67.25,6.28
-76.43,6.35
-71.739636,6.479181
-58.65,6.5
-58.35,6.57
-59.73,6.78
-66.5,6.92
-77.633333,6.966667
-71.933333,7.15
-59.7,7.37
-72.05,7.52
-72.22,7.6
-59.92,7.62
-71.78,7.625
-71.47,7.68
-77.666667,7.75
-71.62,8.02
-75.066667,8.033333
-61.833333,8.083333
-70.583333,8.516667
-70.65,8.53
-71.2333,8.55
-70.67,8.62
-70.5,8.82
-71.68,8.92
-72.83,9.17
-72.58,9.52
-72.8986,9.5917
-68.625,10.23
-68.07,10.38
-62.624444,10.694167
-64.1131,-17.3753
-65.0342,-17.0108
-65.4192,-17.0025
-64.816667,-17
-68.52,-15.33
-68.1667,-15.25
-68.5122,-15.1511
-39.08,-15.15
-67.92,-14.42
-67.9708,-14.3492
-71.2,-13.12
-69.33,-12.83
-70.77,-12.28
-68.3,-12.016667
-71,-11.75
-71.92,-11.67
-65.6333,-10.5333
-70.95,-10.2
-78,-8
-70.18,-6.78
-78.7978,-4.0383
-78.58,-3.92
-78.4433,-3.6206
-78.4406,-3.0586
-78.083333,-1.466667
-78.0553,-1.3906
-77.67,-0.72
-78,-0.07
-79.4,0.066667
-79.03,0.08
-78.6289,0.1239
-79.2,0.3
-78.916667,0.8
-78.1,0.9
-78.183333,0.933333
-77.92,1.17
-78.577778,1.191111
-76.876517,3.573533
-77.010556,3.849722
-77.17,4.17
-56.783333,4.733333
-76.65,5.275
-76.08,5.43
-83.311111,8.408333
-81.116667,8.55
-80.116667,8.616667
-80.183056,8.681111
-83.566666,8.7
-83.266667,8.75
-80.673889,8.821111
-79.4125,9.166111
-79.75,9.216667
-78.966667,9.266667
-78.916667,9.316667
-79.583333,9.4
-79.666667,9.5
-83.540278,9.815278
-84.3,10.216667
-84.033333,10.283334
-84.00361,10.43138
-83.5,10.533334
-83.788887,10.602777
-83.736107,10.643886
-83.666664,10.666667
-84.47361,11.04166
-84.30083,11.11083
-84.366667,11.116667
-84.237778,11.239444
-84.35,11.566667
-84.3,11.716667
-84.878611,12.150556
-84.3,12.166667
-85,12.833333
-85.516667,13.266667
-84.616667,13.966667
-85.516667,14
-84.633333,14.066667
-83.666667,14.1
-56.65,-28.066667
-48.7067,-25.3208
-55.416667,-24.083333
-60.8986,-16.4892
-59.9624,5.39883
-60.22,5.68
-49.6,-29.13
-55.33,-26.17
-57.53,-25.45
-55.92,-25.42
-57.12,-25.2
-57.25,-25.133333
-47.12,-22.18
-44.65,-21.5
-43.5,-20.333333
-43.5,-19.166667
-63.67,-17.42
-62,-16
-49.5,-15.833333
-42.5,-14.116667
-66.4,-14.1
-61.53281,-13.70297
-60.8,-13.65
-41.82,-13.63
-44.67,-13.25
-44.78,-13.12
-41.503972,-12.872278
-63,-7.52
-61.42,-3.33
-60.58,-3.03
-50.97,1.75
-59.33,2.42
-59.25,2.5
-59.15,2.82
-59.42,2.83
-61.416667,3.333333
-59.68,3.47
-76.87653,3.57353
-76.95,3.983333
-58.8492,4.3422
-61.05,4.75
-60.03,4.8
-60.68,4.93
-54.05,5.38
-67.679672,5.692625
-67.33,5.8
-68.78,6.18
-69.908,6.211128
-75.05,6.3
-66.75,6.583333
-63.5,6.75
-66.5,6.833333
-75.08,6.92
-70.741869,7.013092
-62.08,7.07
-62.45,7.466667
-69.5,7.5
-72.058,7.525
-81.07777,8.14166
-80.359766,8.530885
-82.083333,8.75
-68.0869,8.936767
-63.5,9.03
-69.82,9.07
-67.9,9.1
-83.333333,9.15
-67.9,9.7
-67.9,9.833
-67.9,9.9
-61.337606,10.602264
-85.5,11.033333
-84.898889,11.631944
-83.733333,11.65
-84.966667,11.716667
-83.75,12
-85.08333,12.06666
-85.246944,12.193611
-85.08333,12.26666
-83.679444,12.336667
-85.271944,12.343333
-83.716667,12.65
-84.5,13.533333
-84.283333,13.55
-86.03333,13.76666
-88.083333,13.916667
-84.216667,13.95
-83.4,14.016667
-83.666667,14.1
-86.566667,14.116667
-83.483333,14.15
-83.2,14.316667
-83.78333,14.43333
-83.983333,14.533333
-83.5,14.683333
-87.933333,14.7
-83.78333,14.71666
-83.96666,14.73333
-84.033333,14.733333
-83.883333,14.75
-84.21666,15
-83.76666,15.26666
-85.715278,15.555556
-85.9083,15.9583
-88.67619,16.48169
-88.7,16.55
-88.3,17.016667
-88.559444,17.341389
-77.836727,18.134238
-77.360579,18.193687
-77.613752,18.247545
-66.4417,18.46528
-69.8333,18.8333
-69.38,18.9583
-69.5,19
-75.910935,20.424291
-74.929103,20.648235
-78.0056,21.5667
-77.756928,21.618659
-79.618941,21.870604
-79.65613,21.970487
-84.189393,22.042878
-84.150526,22.117714
-84.216868,22.185365
-83.71198,22.283868
-83.414962,22.516586
-83.32801,22.549539
-80.355687,22.607964
-83.717958,22.62582
-83.769465,22.785686
-80.689408,22.899127
-81.5886,26.0777
-61.532806,-13.702972
-50.27,-2.35
-52.71,4.72
-52.333333,4.733333
-52.956792,5.376764
-76.322139,6.539861
-63.5,6.75
-70.743144,7.013531
-55.77825,-15.432
-73.833333,-5.083333
-69.83333,-13.5
-71.2,-12.916667
-75.22,-10.2
-75.392222,-10.151944
-74.8,-9.467
-78.316667,-4.916667
-78.162222,-4.632222
-78.233611,-4.580278
-78.63333,-4.5
-78.5,-4.5
-78.166667,-4.466667
-78.92,-4.18
-77.7,-3.91666
-78.4153,-3.5106
-73.01666,-3.5
-78.57,-3.48
