species,Longitude,Latitude
Acanthella_conferta,-66.830006,-0.326324
Acanthella_conferta,-72.75,0.92
Acanthella_conferta,-70.25,1
Acanthella_pulchra,-67.82,4.33
Acanthella_pulchra,-67.68,4.62
Acanthella_pulchra,-67.805,5.24389
Acanthella_pulchra,-67.36666,5.61666
Acanthella_pulchra,-67.333333,5.8
Acanthella_sprucei,-72.32,-0.42
Acanthella_sprucei,-72.7017,0.9375
Acanthella_sprucei,-70.25,1
Acanthella_sprucei,-72.67,1.08
Acanthella_sprucei,-72.833333,1.116667
Acanthella_sprucei,-70.85,1.25
Acanthella_sprucei,-70.5,1.33
Acanthella_sprucei,-72.92869,1.34047
Acanthella_sprucei,-65.666667,1.65
Acanthella_sprucei,-65.56666,2.16666
Acanthella_sprucei,-72.69666,2.47444
Acanthella_sprucei,-72.71,2.545278
Acanthella_sprucei,-65.55,3.16
Acanthella_sprucei,-65.85,3.616667
Acanthella_sprucei,-66.83333,4.08333
Acanthella_sprucei,-67.283333,4.283333
Acanthella_sprucei,-67.82,4.33
Acanthella_sprucei,-67.75,4.33333
Acanthella_sprucei,-67.67,4.75
Acanthella_sprucei,-67.566667,4.916667
Acanthella_sprucei,-67.77,5.03
Acanthella_sprucei,-67.55,5.04
Acanthella_sprucei,-67.4421,5.06078
Acanthella_sprucei,-67.85,5.333333
Acanthella_sprucei,-67.55,5.37
Acanthella_sprucei,-67.5,5.58
Acanthella_sprucei,-67.6,5.62
Acanthella_sprucei,-67.67,5.67
Acanthella_sprucei,-66.1417,5.68
Acanthella_sprucei,-67.5886,5.7131
Acanthella_sprucei,-66.38333,5.91666
Acanthella_sprucei,-67.366667,5.966667
Acanthella_sprucei,-67.48,6.25
Aciotis_acuminifolia,-64.8328,-17.0144
Aciotis_acuminifolia,-65.0342,-17.0108
Aciotis_acuminifolia,-61,-13.6
Aciotis_acuminifolia,-69.33,-12.83
Aciotis_acuminifolia,-67.833333,-11.766667
Aciotis_acuminifolia,-65.383333,-10.8
Aciotis_acuminifolia,-65.6333,-10.5333
Aciotis_acuminifolia,-56.34,-9.906639
Aciotis_acuminifolia,-56.11,-9.897278
Aciotis_acuminifolia,-69.12,-9.72
Aciotis_acuminifolia,-57.516667,-7.583333
Aciotis_acuminifolia,-73.83,-5.08
Aciotis_acuminifolia,-73.38,-4.27
Aciotis_acuminifolia,-73.125556,-3.882222
Aciotis_acuminifolia,-73.324444,-3.825556
Aciotis_acuminifolia,-73.25,-3.75
Aciotis_acuminifolia,-73.268333,-3.676944
Aciotis_acuminifolia,-75.83,-3.25
Aciotis_acuminifolia,-70.33,-3.18
Aciotis_acuminifolia,-59.97,-2.88
Aciotis_acuminifolia,-70.527778,-2.716667
Aciotis_acuminifolia,-77.91666,-1.63333
Aciotis_acuminifolia,-77.966667,-1.483333
Aciotis_acuminifolia,-78,-1.41666
Aciotis_acuminifolia,-77.86,-1.34
Aciotis_acuminifolia,-79.18,-0.92
Aciotis_acuminifolia,-67.02,-0.168267
Aciotis_acuminifolia,-67.34,0.324267
Aciotis_acuminifolia,-66.166667,0.833333
Aciotis_acuminifolia,-56.65,3.25
Aciotis_acuminifolia,-58.751944,3.289444
Aciotis_acuminifolia,-52.2,3.62
Aciotis_acuminifolia,-59.32,3.75
Aciotis_acuminifolia,-69.15,5.18
Aciotis_acuminifolia,-70.712389,6.979472
Aciotis_annua,-41.419778,-12.461194
Aciotis_annua,-68.0478,-11.5942
Aciotis_annua,-66.08,-11
Aciotis_annua,-67.851125,-8.277292
Aciotis_annua,-54.95,-2.483333
Aciotis_annua,-65,-0.5
Aciotis_annua,-61.49,-0.407722
Aciotis_annua,-70.5,0.083
Aciotis_annua,-64.75,0.75
Aciotis_annua,-66.17,0.83
Aciotis_annua,-58.965,1.332778
Aciotis_annua,-65.666667,1.65
Aciotis_annua,-65.75,3.666667
Aciotis_annua,-59.895556,8.137222
Aciotis_circaeifolia,-60.0262053899244,-3.10532112790859
Aciotis_circaeifolia,-59.97,-2.883333
Aciotis_circaeifolia,-60.470552,0.463867
Aciotis_indecora,-39.083333,-15.15
Aciotis_indecora,-39.047183,-14.789084
Aciotis_indecora,-60.72,-14.63
Aciotis_indecora,-60.7692,-14.5614
Aciotis_indecora,-69.33,-12.83
Aciotis_indecora,-66.08,-11
Aciotis_indecora,-59.35,-10.2
Aciotis_indecora,-54.740486,-2.449614
Aciotis_indecora,-59,-1
Aciotis_indecora,-49.8,-0.983333
Aciotis_indecora,-53.116667,0.4
Aciotis_indecora,-66.17,0.83
Aciotis_indecora,-66.25,0.883333
Aciotis_indecora,-67.05,1.93
Aciotis_indecora,-59.566667,2
Aciotis_indecora,-67.43,2.91
Aciotis_indecora,-77.47,3.25
Aciotis_indecora,-59.254444,3.333889
Aciotis_indecora,-77,3.92
Aciotis_indecora,-77.17,4.17
Aciotis_indecora,-77.37,4.25
Aciotis_indecora,-58.810278,4.3375
Aciotis_indecora,-67.8,4.4
Aciotis_indecora,-52.266667,4.583333
