species,Longitude,Latitude
Aciotis_indecora,-75.05267,5.51114
Aciotis_olivieriana,-79.95,-4.083333
Aciotis_ornata,-76.22028,4.83764
Aciotis_ornata,-75.05481,5.52247
Aciotis_polystachya,-75.905833,1.682778
Aciotis_purpurascens,-78.3,-1.35
Aciotis_purpurascens,-77.766667,-0.733333
Aciotis_purpurascens,-71.62,8.02
Aciotis_purpurascens,-71.2333,8.55
Aciotis_rubricaulis,-68.52,-15.33
Aciotis_rubricaulis,-68.5122,-15.1511
Aciotis_rubricaulis,-78,-8
Aciotis_rubricaulis,-78.7978,-4.0383
Aciotis_rubricaulis,-78.58,-3.92
Aciotis_rubricaulis,-78.4433,-3.6206
Aciotis_rubricaulis,-78.0553,-1.3906
Aciotis_rubricaulis,-78,-0.07
Aciotis_rubricaulis,-78.6289,0.1239
Aciotis_rubricaulis,-78.1,0.9
Aciotis_rubricaulis,-78.183333,0.933333
Aciotis_rubricaulis,-77.92,1.17
Acisanthera_quadrata,-75.05,6.3
Acisanthera_quadrata,-75.08,6.92
Adelobotrys_adscendens,-78.63333,-4.5
Adelobotrys_adscendens,-78.92,-4.18
Adelobotrys_adscendens,-78.4153,-3.5106
Adelobotrys_adscendens,-78.1,-1.45
Adelobotrys_boissieriana,-78.63333,-4.5
Adelobotrys_fuscescens,-76,4
Adelobotrys_klugii,-78.63333,-4.5
Adelobotrys_tessmannii,-78.43055,-3.91111
Allomaieta_caucana,-76.636917,3.365217
Allomaieta_ebejicosana,-76.0356,5.7986
Allomaieta_hirsuta,-75.63333,6.08333
Allomaieta_hirsuta,-75.1106,6.8631
Allomaieta_pancurana,-76.0378,5.77
Allomaieta_pancurana,-75.1658,7.0047
Allomaieta_strigosa,-75.1603,7.0108
Allomaieta_zenufanasana,-75.1106,6.8631
Alloneuron_ulei,-76.7,1.166667
Andesanthus_gleasonianus,-79.03,-0.95
Andesanthus_gleasonianus,-78.43,-0.33
Andesanthus_gleasonianus,-78.8028,-0.2314
Andesanthus_gleasonianus,-78.61666,-0.05
Andesanthus_gleasonianus,-78.43,0.33
Andesanthus_gleasonianus,-78.083333,0.833333
Andesanthus_gleasonianus,-78,0.85
Andesanthus_lepidotus,-75.37,-11.57
Andesanthus_lepidotus,-75.42638,-10.66527
Andesanthus_lepidotus,-75.35305,-10.63055
Andesanthus_lepidotus,-75.287778,-10.619722
Andesanthus_lepidotus,-75.35833,-10.54527
Andesanthus_lepidotus,-77.67,-6.25
Andesanthus_lepidotus,-77.66666,-6.16666
Andesanthus_lepidotus,-77.96305,-5.83638
Andesanthus_lepidotus,-77.833333,-5.833333
Andesanthus_lepidotus,-77.883333,-5.75
Andesanthus_lepidotus,-78.848611,-4.591111
Andesanthus_lepidotus,-79.13638,-4.48888
Andesanthus_lepidotus,-79.18333,-4.38333
Andesanthus_lepidotus,-79.145278,-3.9875
Andesanthus_lepidotus,-79.05,-3.98
Andesanthus_lepidotus,-79.15,-3.92
Andesanthus_lepidotus,-78.480278,-3.898333
Andesanthus_lepidotus,-78.416667,-2.966667
Andesanthus_lepidotus,-78.68888,-2.78222
Andesanthus_lepidotus,-78.25111,-2.20666
Andesanthus_lepidotus,-78.49944,-2.18472
Andesanthus_lepidotus,-78.18,-1
Andesanthus_lepidotus,-77.68666,-0.67555
Andesanthus_lepidotus,-77.87,-0.57
Andesanthus_lepidotus,-77.83,-0.48
Andesanthus_lepidotus,-77.9,-0.466667
Andesanthus_lepidotus,-78.76083,-0.45222
Andesanthus_lepidotus,-77.96666,-0.43333
Andesanthus_lepidotus,-77.78,-0.43
Andesanthus_lepidotus,-77.833333,-0.333333
Andesanthus_lepidotus,-78.85,-0.3
Andesanthus_lepidotus,-77.65,-0.2
Andesanthus_lepidotus,-77.6,-0.1
Andesanthus_lepidotus,-78.6783,0.0047
Andesanthus_lepidotus,-78.68,0.07
Andesanthus_lepidotus,-77.55,0.45
Andesanthus_lepidotus,-78.220556,0.828611
Andesanthus_lepidotus,-78.03,0.85
Andesanthus_lepidotus,-76.85064,1.14286
Andesanthus_lepidotus,-77.96666,1.16666
Andesanthus_lepidotus,-76.60219,3.54158
Andesanthus_lepidotus,-73.93,3.98
Andesanthus_lepidotus,-75.961611,4.189777
Andesanthus_lepidotus,-76.25,4.75
Andesanthus_lepidotus,-75.93333,5.38333
Andesanthus_lepidotus,-75.0548,5.522467
Andesanthus_lepidotus,-75.27,5.62
Andesanthus_lepidotus,-75.27388,5.69194
