species,Longitude,Latitude
Aciotis_olivieriana,-79.95,-4.083333
Adelobotrys_tessmannii,-76.15,-9.083333
Adelobotrys_tessmannii,-76.773397,-6.272834
Adelobotrys_tessmannii,-78.63,-4.15
Adelobotrys_tessmannii,-77.733333,-4.033333
Adelobotrys_tessmannii,-77.7,-3.91666
Adelobotrys_tessmannii,-78.43055,-3.91111
Adelobotrys_tessmannii,-77.66666,-3.83333
Adelobotrys_tessmannii,-73.56666,-2.91666
Adelobotrys_tessmannii,-77.916667,-2.766667
Adelobotrys_tessmannii,-78.2,-2.67
Adelobotrys_tessmannii,-77.9,-2.53333
Adelobotrys_tessmannii,-76.166667,-2.516667
Adelobotrys_tessmannii,-77.5,-2.38
Adelobotrys_tessmannii,-77.33,-1.42
Adelobotrys_tessmannii,-77.83,-1.25
Adelobotrys_tessmannii,-76.92,-1.25
Adelobotrys_tessmannii,-77.86666,-1.18333
Adelobotrys_tessmannii,-77.03,-0.58
Adelobotrys_tessmannii,-76.17,0.9
Allomaieta_caucana,-76.636917,3.365217
Allomaieta_ebejicosana,-76.0356,5.7986
Allomaieta_strigosa,-75.1603,7.0108
Allomaieta_strigosa,-75.5,7.17
Alloneuron_ulei,-76.7,1.166667
Alloneuron_ulei,-75.58408,1.6306
Andesanthus_gleasonianus,-79.03,-0.95
Andesanthus_gleasonianus,-78.43,-0.33
Andesanthus_gleasonianus,-78.8028,-0.2314
Andesanthus_gleasonianus,-78.61666,-0.05
Andesanthus_gleasonianus,-78.43,0.33
Andesanthus_gleasonianus,-78.083333,0.833333
Andesanthus_gleasonianus,-78,0.85
Andesanthus_lepidotus,-75.37,-11.57
Andesanthus_lepidotus,-75.42638,-10.66527
Andesanthus_lepidotus,-75.35305,-10.63055
Andesanthus_lepidotus,-75.287778,-10.619722
Andesanthus_lepidotus,-75.35833,-10.54527
Andesanthus_lepidotus,-77.67,-6.25
Andesanthus_lepidotus,-77.66666,-6.16666
Andesanthus_lepidotus,-77.96305,-5.83638
Andesanthus_lepidotus,-77.833333,-5.833333
Andesanthus_lepidotus,-77.883333,-5.75
Andesanthus_lepidotus,-77.37,-5.67
Andesanthus_lepidotus,-78.848611,-4.591111
Andesanthus_lepidotus,-79.13638,-4.48888
Andesanthus_lepidotus,-79.18333,-4.38333
Andesanthus_lepidotus,-79.145278,-3.9875
Andesanthus_lepidotus,-79.05,-3.98
Andesanthus_lepidotus,-79.15,-3.92
Andesanthus_lepidotus,-78.480278,-3.898333
Andesanthus_lepidotus,-78.416667,-2.966667
Andesanthus_lepidotus,-78.68888,-2.78222
Andesanthus_lepidotus,-78.38333,-2.65
Andesanthus_lepidotus,-78.25111,-2.20666
Andesanthus_lepidotus,-78.49944,-2.18472
Andesanthus_lepidotus,-78.18,-1
Andesanthus_lepidotus,-77.68666,-0.67555
Andesanthus_lepidotus,-77.87,-0.57
Andesanthus_lepidotus,-77.83,-0.48
Andesanthus_lepidotus,-77.9,-0.466667
Andesanthus_lepidotus,-78.76083,-0.45222
Andesanthus_lepidotus,-77.96666,-0.43333
Andesanthus_lepidotus,-77.78,-0.43
Andesanthus_lepidotus,-78.916667,-0.333333
Andesanthus_lepidotus,-77.833333,-0.333333
Andesanthus_lepidotus,-78.85,-0.3
Andesanthus_lepidotus,-77.65,-0.2
Andesanthus_lepidotus,-77.6,-0.1
Andesanthus_lepidotus,-78.6783,0.0047
Andesanthus_lepidotus,-78.68,0.07
Andesanthus_lepidotus,-77.55,0.45
Andesanthus_lepidotus,-78.683333,0.666667
Andesanthus_lepidotus,-78.220556,0.828611
Andesanthus_lepidotus,-78.03,0.85
Andesanthus_lepidotus,-76.85064,1.14286
Andesanthus_lepidotus,-77.96666,1.16666
Andesanthus_lepidotus,-76.60219,3.54158
Andesanthus_lepidotus,-73.93,3.98
Andesanthus_lepidotus,-75.961611,4.189777
Andesanthus_lepidotus,-76.25,4.75
Andesanthus_lepidotus,-75.93333,5.38333
Andesanthus_lepidotus,-75.0548,5.522467
Andesanthus_lepidotus,-75.27,5.62
Andesanthus_lepidotus,-75.27388,5.69194
Andesanthus_lepidotus,-76.13333,5.86666
Andesanthus_lepidotus,-75.79722,6.06555
Andesanthus_lepidotus,-75.6,6.08333
Andesanthus_lepidotus,-75.45,6.08333
Andesanthus_lepidotus,-75.133333,6.166667
Andesanthus_lepidotus,-75.58583,6.17194
Andesanthus_lepidotus,-75.33916,6.17666
Andesanthus_lepidotus,-75.483333,6.3
Andesanthus_lepidotus,-75.33,6.42
Andesanthus_lepidotus,-76.2523,6.51919
Andesanthus_lepidotus,-75.94027,6.65277
Andesanthus_lepidotus,-75.23111,6.79111
Andesanthus_lepidotus,-75.09388,6.81333
Andesanthus_lepidotus,-75.02,6.9
Andesanthus_lepidotus,-75.083333,6.916667
Andesanthus_lepidotus,-75.32,7.05
Andesanthus_lepidotus,-72.43,7.63
Andesanthus_lepidotus,-72.07,7.97
Arthrostemma_ciliatum,-75.06666,-10.53333
Arthrostemma_ciliatum,-75.25,-10.32
Arthrostemma_ciliatum,-74.858,-9.525
Arthrostemma_ciliatum,-75.7964,-9.1842
Arthrostemma_ciliatum,-73.65,-7.48
Arthrostemma_ciliatum,-76.918611,-6.098333
Arthrostemma_ciliatum,-78.5,-4.5
Arthrostemma_ciliatum,-78.173056,-4.467778
Arthrostemma_ciliatum,-78.666667,-4.316667
Arthrostemma_ciliatum,-78.95,-4.06666
Arthrostemma_ciliatum,-78.624167,-3.936944
Arthrostemma_ciliatum,-78.67,-3.83
Arthrostemma_ciliatum,-78.166667,-3.5
Arthrostemma_ciliatum,-77.63,-2.72
Arthrostemma_ciliatum,-78.15,-2.516667
Arthrostemma_ciliatum,-76.8,-2.516667
Arthrostemma_ciliatum,-78.11666,-2.33333
Arthrostemma_ciliatum,-76.96666,-2.08333
Arthrostemma_ciliatum,-77.93333,-1.83333
Arthrostemma_ciliatum,-79.13333,-1.56666
Arthrostemma_ciliatum,-78.1,-1.45
Arthrostemma_ciliatum,-77.6,-1.066667
Arthrostemma_ciliatum,-80.88333,-1.06666
Arthrostemma_ciliatum,-77.711667,-1.045833
Arthrostemma_ciliatum,-77.35,-0.92
Arthrostemma_ciliatum,-79.15,-0.86666
Arthrostemma_ciliatum,-77.448611,-0.748611
Arthrostemma_ciliatum,-77.33333,-0.71666
Arthrostemma_ciliatum,-75.5,-0.67
Arthrostemma_ciliatum,-79.36666,-0.58333
Arthrostemma_ciliatum,-76.38333,-0.51666
Arthrostemma_ciliatum,-78,-0.5
Arthrostemma_ciliatum,-77.83333,-0.5
Arthrostemma_ciliatum,-76.866667,-0.45
Arthrostemma_ciliatum,-76.51666,-0.43333
Arthrostemma_ciliatum,-78.9525,-0.320556
Arthrostemma_ciliatum,-76.51666,-0.11666
Arthrostemma_ciliatum,-75.86666,-0.08333
Arthrostemma_ciliatum,-78.631639,-0.048917
Arthrostemma_ciliatum,-75.86666,0.08333
Arthrostemma_ciliatum,-78.83,0.68
Arthrostemma_ciliatum,-78.9,0.8
Arthrostemma_ciliatum,-78.183333,0.933333
Arthrostemma_ciliatum,-78.21666,1.03333
Arthrostemma_ciliatum,-79,1.05
Arthrostemma_ciliatum,-78.63694,1.47361
Arthrostemma_ciliatum,-78.5,1.71666
Arthrostemma_ciliatum,-77,3.916667
Arthrostemma_ciliatum,-76.95,3.983333
Arthrostemma_ciliatum,-75.662972,4.596306
Arthrostemma_ciliatum,-75.583889,4.739583
Arthrostemma_ciliatum,-75.05203,5.50028
Arthrostemma_ciliatum,-75.7,5.72
Arthrostemma_ciliatum,-75.333333,6.166667
Arthrostemma_ciliatum,-75.03333,6.3
Arthrostemma_ciliatum,-77.666667,7.75
Arthrostemma_ciliatum,-83.336111,8.5494
Arthrostemma_ciliatum,-80.1,8.616667
Arthrostemma_ciliatum,-83.504722,8.671667
Arthrostemma_ciliatum,-83.6786,8.6786
Arthrostemma_ciliatum,-82.233333,8.75
Arthrostemma_ciliatum,-82.116667,8.95
Arthrostemma_ciliatum,-79.67527,9.04833
Arthrostemma_ciliatum,-79.75,9.133333
Arthrostemma_ciliatum,-79.841667,9.156944
Arthrostemma_ciliatum,-70.02,9.25
Arthrostemma_ciliatum,-79.583333,9.333333
Arthrostemma_ciliatum,-79.583333,9.4
Arthrostemma_ciliatum,-69.854833,9.404
Arthrostemma_ciliatum,-83.5931,9.4708
Arthrostemma_ciliatum,-84.583333,9.75
Arthrostemma_ciliatum,-84.153243,9.920766
Arthrostemma_ciliatum,-84.16,10.23
Arthrostemma_ciliatum,-84.8,10.3
Arthrostemma_ciliatum,-84.166667,10.3
Arthrostemma_ciliatum,-84.6583,10.4528
Arthrostemma_ciliatum,-66.93,10.47
Arthrostemma_ciliatum,-85.36,10.69
Arthrostemma_ciliatum,-84.8,10.716667
Arthrostemma_ciliatum,-72.4917,10.8694
Arthrostemma_ciliatum,-83.71666,10.91666
Arthrostemma_ciliatum,-85.4278,10.9906
Arthrostemma_ciliatum,-84.45472,11.055
Arthrostemma_ciliatum,-84.533333,11.083333
Arthrostemma_ciliatum,-84.3725,11.126111
Arthrostemma_ciliatum,-85.966667,11.833333
Arthrostemma_ciliatum,-84.61475,11.923133
Arthrostemma_ciliatum,-84.963056,12.029445
Arthrostemma_ciliatum,-86.26666,12.05
Arthrostemma_ciliatum,-85.08333,12.06666
Arthrostemma_ciliatum,-84.21666,12.15
Arthrostemma_ciliatum,-84.3,12.16666
Arthrostemma_ciliatum,-85.283555,12.267611
Arthrostemma_ciliatum,-85.216667,12.966667
Arthrostemma_ciliatum,-85.816667,12.983333
Arthrostemma_ciliatum,-85.91666,13
Arthrostemma_ciliatum,-85.91666,13.06666
Arthrostemma_ciliatum,-85.75,13.06666
Arthrostemma_ciliatum,-86,13.066667
Arthrostemma_ciliatum,-85.86666,13.18333
Arthrostemma_ciliatum,-85.66666,13.23333
Arthrostemma_ciliatum,-85.366667,13.25
Arthrostemma_ciliatum,-86.26666,13.26666
Arthrostemma_ciliatum,-86.16666,13.26666
Arthrostemma_ciliatum,-85.516667,13.266667
Arthrostemma_ciliatum,-85.68333,13.36666
Arthrostemma_ciliatum,-86.56666,13.41666
Arthrostemma_ciliatum,-86.240278,13.416667
Arthrostemma_ciliatum,-85.73333,13.51666
Arthrostemma_ciliatum,-85.61666,13.51666
Arthrostemma_ciliatum,-84.8375,13.69166
Arthrostemma_ciliatum,-84.766667,13.733333
Arthrostemma_ciliatum,-85.05833,13.74166
Arthrostemma_ciliatum,-84.875,13.75833
Arthrostemma_ciliatum,-85.430278,14.1
Arthrostemma_ciliatum,-85.320833,14.230278
Arthrostemma_ciliatum,-85.133333,14.316667
Arthrostemma_ciliatum,-83.783333,14.433333
Arthrostemma_ciliatum,-88.8,14.48333
Arthrostemma_ciliatum,-84.78333,14.58333
Arthrostemma_ciliatum,-83.96666,14.73333
Arthrostemma_ciliatum,-88.86666,14.98333
Arthrostemma_ciliatum,-86.116667,15
Arthrostemma_ciliatum,-85.806944,15.135
Arthrostemma_ciliatum,-85.51722,15.14194
Arthrostemma_ciliatum,-90.25,15.25
Arthrostemma_ciliatum,-89.208,15.417
Arthrostemma_ciliatum,-92.633333,15.45
Arthrostemma_ciliatum,-96.4,15.866667
Arthrostemma_ciliatum,-96.2692,15.8956
Arthrostemma_ciliatum,-85.93333,15.9
Arthrostemma_ciliatum,-96.1717,15.9381
Arthrostemma_ciliatum,-97.083333,16.183333
Arthrostemma_ciliatum,-93.596111,16.210556
Arthrostemma_ciliatum,-94.1417,16.7
Arthrostemma_ciliatum,-88.96666,16.73333
Arthrostemma_ciliatum,-88.58,16.75
Arthrostemma_ciliatum,-98.235,16.79
Arthrostemma_ciliatum,-98.6902,16.8157
Arthrostemma_ciliatum,-98.61978,16.82549
Arthrostemma_ciliatum,-93.45,16.88
Arthrostemma_ciliatum,-93.266667,16.883333
Arthrostemma_ciliatum,-92.37,16.89
Arthrostemma_ciliatum,-94.68,16.9083
Arthrostemma_ciliatum,-97.883333,16.966667
Arthrostemma_ciliatum,-92.833333,17
Arthrostemma_ciliatum,-97.866667,17.048611
Arthrostemma_ciliatum,-88.65914,17.10989
Arthrostemma_ciliatum,-88.766667,17.166667
Arthrostemma_ciliatum,-94.52,17.27
Arthrostemma_ciliatum,-100.28,17.28
Arthrostemma_ciliatum,-95.992222,17.291111
Arthrostemma_ciliatum,-93.598611,17.365
Arthrostemma_ciliatum,-100.2008,17.3811
Arthrostemma_ciliatum,-92.666667,17.5
Arthrostemma_ciliatum,-92.884167,17.552222
Arthrostemma_ciliatum,-96.359167,17.633889
Arthrostemma_ciliatum,-96.416667,17.666667
Arthrostemma_ciliatum,-96.53555,17.70305
Arthrostemma_ciliatum,-96.316667,17.733333
Arthrostemma_ciliatum,-96.3933,17.8467
Arthrostemma_ciliatum,-76.3828,18.02
Arthrostemma_ciliatum,-66.051944,18.111944
Arthrostemma_ciliatum,-77.261529,18.19804
Arthrostemma_ciliatum,-65.95761,18.28153
Arthrostemma_ciliatum,-65.8528,18.2919
Arthrostemma_ciliatum,-95.083333,18.516667
Arthrostemma_ciliatum,-97.3233,19.9967
Arthrostemma_ciliatum,-97.56049,20.05336
Arthrostemma_ciliatum,-97.67505,20.21591
Axinaea_affinis,-79.25,-3.75
Axinaea_affinis,-79.28,-3.67
Axinaea_affinis,-79.21666,-3.6
Axinaea_affinis,-78.68,-3.02
Axinaea_affinis,-78.37,-0.2
Axinaea_affinis,-78.516667,0.183333
Axinaea_affinis,-77.7,0.58
Axinaea_alata,-65.85,-17.233333
Axinaea_alata,-67.13,-16.85
Axinaea_alata,-67.8,-16.3
Axinaea_colombiana,-75.484722,4.816667
Axinaea_costaricensis,-72.848533,7.438233
Axinaea_costaricensis,-70.1875,9.1706
Axinaea_costaricensis,-70.3,9.35
Axinaea_costaricensis,-84.108011,9.677931
Axinaea_costaricensis,-70.13,9.68
Axinaea_costaricensis,-83.7806,9.6972
Axinaea_costaricensis,-83.95,9.7222
Axinaea_costaricensis,-84.1289,9.8594
Axinaea_costaricensis,-84.12,10.12
Axinaea_costaricensis,-84.3119,10.2028
Axinaea_costaricensis,-74.056317,11.11065
Axinaea_crassinoda,-77.7186,-6.9917
Axinaea_crassinoda,-77.726944,-6.820278
Axinaea_crassinoda,-78.040361,-6.240972
Axinaea_dentata,-79.1319,-4.4956
Axinaea_dependens,-75.37,-10.57
Axinaea_fallax,-76.683333,1.966667
Axinaea_fallax,-76.15,6.616667
Axinaea_fernando-cabiesii,-77.69,-6.695556
Axinaea_flava,-79.43,-4.71
Axinaea_flava,-79.45,-4.63
Axinaea_glandulosa,-68.1,-16.13
Axinaea_glandulosa,-72.543056,-13.194444
Axinaea_glandulosa,-77.674722,-7.035278
Axinaea_glauca,-79.45,-4.25
Axinaea_grandifolia,-76.33714,1.50297
Axinaea_grandifolia,-76.92556,1.5445
Axinaea_grandifolia,-71.1333,8.5667
Axinaea_grandifolia,-70.183333,9.166667
Axinaea_grandifolia,-70.3,9.35
Axinaea_lanceolata,-68,-17
Axinaea_lanceolata,-75.35833,-10.54527
Axinaea_lanceolata,-75.45444,-10.43611
Axinaea_lanceolata,-75.601667,-10.322222
Axinaea_lanceolata,-77.6544,-6.9922
Axinaea_lanceolata,-77.8,-6.75
Axinaea_lanceolata,-77.69,-6.6956
Axinaea_lanceolata,-78.433333,0.816667
Axinaea_lawessonii,-79.33,-4.58
Axinaea_lawessonii,-79.17,-4.08
Axinaea_lawessonii,-79.12,-3.97
Axinaea_lawessonii,-78.655329,-2.762595
Axinaea_lehmannii,-78.22,0.28
Axinaea_lehmannii,-78.43,0.33
Axinaea_lehmannii,-76.90358,2.68831
Axinaea_lehmannii,-76.98333,2.75
Axinaea_lehmannii,-76.57,3.5
Axinaea_lehmannii,-76.294917,4.742083
Axinaea_lehmannii,-75.995,4.79722
Axinaea_lehmannii,-75.8,5.31666
Axinaea_lehmannii,-75.51666,6.38333
Axinaea_lehmannii,-75.5333,7.17
Axinaea_luteynii,-78.683333,-3.016667
Axinaea_macrophylla,-79.333333,-4.583333
Axinaea_macrophylla,-79.13,-4.5
Axinaea_macrophylla,-79.17,-4.45
Axinaea_macrophylla,-79.95,-4
Axinaea_macrophylla,-79.146667,-3.992222
Axinaea_macrophylla,-79.27,-3.98
Axinaea_macrophylla,-79.26666,-3.9
Axinaea_macrophylla,-79.28,-3.67
Axinaea_macrophylla,-79.35,-3.2
Axinaea_macrophylla,-78.68,-3.02
Axinaea_macrophylla,-79.075314,-2.917677
Axinaea_macrophylla,-78.83,-2.67
Axinaea_macrophylla,-78.67,-2.6
Axinaea_macrophylla,-78.93,-1.97
Axinaea_macrophylla,-79.02,-0.92
Axinaea_macrophylla,-78.63,-0.83
Axinaea_macrophylla,-78.816667,-0.633333
Axinaea_macrophylla,-77.87,-0.57
Axinaea_macrophylla,-78.47,-0.45
Axinaea_macrophylla,-78.07,-0.37
Axinaea_macrophylla,-77.93,-0.37
Axinaea_macrophylla,-78.65,-0.3
Axinaea_macrophylla,-78.633333,-0.166667
Axinaea_macrophylla,-78.589444,-0.116667
Axinaea_macrophylla,-78.27,0.17
Axinaea_macrophylla,-78.35,0.23
Axinaea_macrophylla,-78.22,0.28
Axinaea_macrophylla,-77.984562,0.303616
Axinaea_macrophylla,-77.7,0.58
Axinaea_macrophylla,-77.57,0.63
Axinaea_macrophylla,-78.43,0.82
Axinaea_macrophylla,-78.03,0.85
Axinaea_macrophylla,-76.683333,1.966667
Axinaea_macrophylla,-75.58,4.67
Axinaea_macrophylla,-75.45,4.783333
Axinaea_macrophylla,-75.27,5.62
Axinaea_macrophylla,-73.455917,5.705983
Axinaea_macrophylla,-75.5467,6.22
Axinaea_macrophylla,-75.6,6.57
Axinaea_macrophylla,-75.533333,6.833333
Axinaea_macrophylla,-72.0583,7.9917
Axinaea_macrophylla,-71.73,8.25
Axinaea_merianiae,-79.27,-3.62
Axinaea_merianiae,-79.25,-3.55
Axinaea_merianiae,-79.33,-3.5
Axinaea_merianiae,-79.17,-3.42
Axinaea_merianiae,-79.16666,-3.33333
Axinaea_merianiae,-79.06666,-3.33333
Axinaea_merianiae,-79.05,-3.27
Axinaea_merianiae,-79.2,-3.25
Axinaea_merianiae,-79.12,-3.23
Axinaea_merianiae,-78.92,-3.23
Axinaea_merianiae,-79.08,-3.17
Axinaea_merianiae,-79.03,-3.13
Axinaea_merianiae,-79.08333,-3.05
Axinaea_merianiae,-79.083333,-2.916667
Axinaea_mertensioides,-77.6544,-6.9922
Axinaea_minutiflora,-75.67,4.28
Axinaea_ninakurorum,-77.6544,-6.9922
Axinaea_nitida,-74.72,-9.42
Axinaea_nitida,-77.8989,-6.9222
Axinaea_nitida,-77.8,-6.75
Axinaea_nitida,-77.75,-6.666667
Axinaea_nitida,-77.9583,-6.43117
Axinaea_nitida,-77.67,-6.25
Axinaea_nitida,-77.78333,-5.68333
Axinaea_nitida,-78.583333,-3
Axinaea_oblongifolia,-79.95,-4.11666
Axinaea_oblongifolia,-79.9044,-4.0639
Axinaea_oblongifolia,-79.21666,-3.6
Axinaea_pauciflora,-79.07888,-3.98305
Axinaea_pauciflora,-79.3064,-3.6997
Axinaea_pauciflora,-78.87055,-3.29222
Axinaea_pauciflora,-78.804972,-3.177444
Axinaea_pauciflora,-78.7083,-2.9603
Axinaea_pauciflora,-78.066667,-2.533333
Axinaea_pennellii,-69.0189,-14.7836
Axinaea_plinervata,-77.8,-6.75
Axinaea_plinervata,-79.6,-5.4
